model,base_model,repo_id,repo_file,optimization_variant,provider,warmup_runs,sample_runs,average_ms,stddev_ms,min_ms,max_ms,sample_1_ms,sample_2_ms,sample_3_ms,sample_4_ms,sample_5_ms,sample_6_ms,sample_7_ms,sample_8_ms,sample_9_ms,sample_10_ms,status,error
FasterRCNN-10.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,default,CPUExecutionProvider,5,10,50.802388,0.523416,50.205088,51.976141,50.541601,50.345003,50.205088,50.493627,50.876713,51.175840,51.013829,50.969303,51.976141,50.426739,DONE,
FasterRCNN-10_disable_all.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,55.516464,0.566925,54.868960,56.558699,56.558699,54.868960,56.078647,56.211590,55.262164,55.488249,55.319980,55.155020,55.001550,55.219783,DONE,
FasterRCNN-10_basic.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,basic,CPUExecutionProvider,5,10,53.035358,0.889007,51.890479,55.148689,51.890479,52.776577,52.953595,53.312579,52.446291,55.148689,53.565430,52.500894,53.213724,52.545319,DONE,
FasterRCNN-10_extended.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,extended,CPUExecutionProvider,5,10,51.502584,1.099239,49.071982,52.459812,52.154594,51.757505,52.459812,52.283095,52.043096,52.090330,50.000069,49.071982,51.435127,51.730228,DONE,
FasterRCNN-12.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,default,CPUExecutionProvider,5,10,49.123379,0.383530,48.755224,50.064889,49.125779,48.817762,50.064889,49.226335,49.147496,48.755224,49.124766,48.818679,48.852784,49.300072,DONE,
FasterRCNN-12_disable_all.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,52.254385,0.592653,51.490807,53.391959,52.179590,52.817819,53.391959,51.679211,51.490807,51.810262,52.564016,51.738053,52.483007,52.389131,DONE,
FasterRCNN-12_basic.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,basic,CPUExecutionProvider,5,10,52.719591,0.335494,52.161496,53.112147,52.161496,52.297256,52.640916,52.995614,52.949791,52.889800,52.880521,53.112147,52.920755,52.347619,DONE,
FasterRCNN-12_extended.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,extended,CPUExecutionProvider,5,10,51.386207,1.584721,49.862355,54.693642,52.648583,54.693642,53.136101,50.632561,51.026023,51.042061,50.170519,50.588938,50.061285,49.862355,DONE,
FasterRCNN-12-int8.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,40.503783,0.548966,39.997066,41.870661,40.495447,40.787173,41.870661,40.788502,40.348354,39.997066,40.189127,40.221882,40.168561,40.171060,DONE,
FasterRCNN-12-int8_disable_all.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,41.695202,0.703189,40.929617,43.078616,41.182412,41.296754,40.929617,41.394804,41.981164,41.481430,43.078616,42.691625,41.778195,41.137403,DONE,
FasterRCNN-12-int8_basic.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,41.635726,0.347995,41.078633,42.170114,41.582204,41.268473,41.636536,41.427329,41.969565,42.170114,41.691178,42.052991,41.078633,41.480241,DONE,
FasterRCNN-12-int8_extended.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,extended,CPUExecutionProvider,5,10,41.518811,0.309843,40.970912,42.173585,41.456167,41.388538,42.173585,41.685461,41.501399,41.380050,41.750181,41.465456,41.416363,40.970912,DONE,
FasterRCNN-12-qdq.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,default,CPUExecutionProvider,5,10,42.764080,0.790208,42.038238,44.705673,44.705673,43.122686,42.785219,42.805056,42.038238,42.216099,42.162548,42.867886,42.884084,42.053308,DONE,
FasterRCNN-12-qdq_disable_all.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,disable_all,CPUExecutionProvider,5,10,71.765148,3.103004,69.317862,79.926314,70.405677,69.317862,70.531217,69.438403,70.076001,71.136239,72.693420,79.926314,71.359154,72.767197,DONE,
FasterRCNN-12-qdq_basic.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,basic,CPUExecutionProvider,5,10,70.353108,6.862367,60.023336,79.118426,71.166293,63.291702,62.362572,60.023336,66.175417,74.927749,74.577726,74.049472,77.838385,79.118426,DONE,
FasterRCNN-12-qdq_extended.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,extended,CPUExecutionProvider,5,10,42.301023,0.307242,41.825831,42.731313,41.887131,42.017030,42.387908,42.731313,42.306582,42.579307,42.598984,42.266959,42.409185,41.825831,DONE,
MaskRCNN-10.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,default,CPUExecutionProvider,5,10,58.371892,0.909621,57.102896,59.833266,57.988849,58.799552,59.833266,58.042990,57.679555,57.511297,57.102896,58.067372,59.505088,59.188051,DONE,
MaskRCNN-10_disable_all.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,71.292538,4.966745,63.360603,76.169678,76.169678,75.628052,64.937282,63.360603,73.514068,73.686418,73.477335,73.501170,74.228054,64.422716,DONE,
MaskRCNN-10_basic.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,basic,CPUExecutionProvider,5,10,72.850730,3.656295,62.983014,76.458302,76.458302,73.906762,72.876543,72.257911,73.623132,73.331323,62.983014,73.636858,74.553573,74.879883,DONE,
MaskRCNN-10_extended.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,extended,CPUExecutionProvider,5,10,74.682265,2.503831,71.387983,79.315606,72.303900,71.387983,74.408953,74.566926,79.315606,76.273210,73.257659,72.148718,76.282649,76.877049,DONE,
MaskRCNN-12.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,default,CPUExecutionProvider,5,10,59.521318,0.989820,58.173515,61.670349,61.670349,59.962259,60.256096,59.068132,59.419488,59.509762,59.450342,58.173515,58.336575,59.366658,DONE,
MaskRCNN-12_disable_all.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,75.646567,1.555550,73.462004,78.248823,75.344856,74.877912,75.823838,75.196913,75.491779,77.082417,78.248823,77.361853,73.575274,73.462004,DONE,
